,name_sim_score,cat_sim_score,rating,manuf_count
exr:OnePlus_10R_5G_Forest_Green_8GB_RAM_128GB_Storage_80W_SuperVOOC_,0.352864533662796,1.0,4.3,1
exr:Nokia_C12_Android_12_Go_Edition_Smartphone_All_Day_Battery_4GB_RAM_2GB_RAM_2GB_Virtual_RAM_64GB_Capacity_Charcoal,0.2700249304374059,1.0,3.2,0
exr:Lava_Blaze_5G_Glass_Blue_4GB_RAM_UFS_2_2_128GB_Storage_5G_Ready_50MP_AI_Triple_Camera_Upto_7GB_Expandable_RAM_Charger_Included_Clean_Android_No_Bloatware_,0.300321102142334,1.0,4.1,0
exr:OnePlus_10_Pro_5G_Emerald_Forest_8GB_RAM_128GB_Storage_,0.34304731835921604,1.0,4.2,1
exr:HP_Victus_Gaming_Latest_AMD_Ryzen_5_5600H_Processor_16_1_inch_40_9_cm_FHD_Gaming_Laptop_8GB_RAM_512GB_SSD_4GB_Radeon_RX5500M_Graphics_B_O_Backlit_KB_Win_11_MS_Office_Xbox_Game_Pass_16_E0162ax,0.20110105723142624,0.0,4.3,0
exr:Acer_Aspire_5_Gaming_Laptop_Intel_Core_i5_12th_gen_12_Cores_Processor_16_GB_512_GB_SSD_Win11_Home_4GB_Graphics_RTX_2050_A515_57G_15_6_FHD_Display_1_8_Kg_Flat_Rs_2000_of_All_Bank_Cards,0.24999196330706278,0.0,4.1,0
exr:Lapster_5_in_1_Multi_Function_Laptop_Cleaning_Brush_Keyboard_Cleaning_kit_Gadget_Cleaning_kit_Gap_Duster_Key_Cap_Puller_for_Laptop_Keyboard_and_Earphones_Multi_Colour_,0.2129993438720703,0.0,4.1,0
exr:ASA_Global_Solution_Fabric_14_inch_Laptop_Sleeve_with_Inner_Protection_and_Water_Resistance,0.24016377329826355,0.0,4.4,0
exr:Allen_Solly_Mens_Regular_Fit_Polo,0.26071115334828693,0.3333333333333333,4.1,0
exr:Veirdo_Oversized_Loose_Baggy_Fit_Drop_Shoulder_Half_Sleeves_Pure_Cotton_The_Original_Graphic_Printed_T_Shirt_for_Men,0.3798331717650096,0.3333333333333333,4.4,0
exr:LEOTUDE_Womens_Cottonblend_Half_Sleeve_Oversized_T_Shirts_Color_Orange_,0.4218357900778453,0.3333333333333333,3.7,0
exr:Campus_Mens_OXYFIT_N_Walking_Shoe,0.25040557980537415,0.125,4.1,0
exr:BRUTON_Shoes_Shoes_Casual_Shoes_Sports_Shoes_Running_Shoes_Exclusive_Shoes_for_Men,0.2991231381893158,0.125,2.9,0
exr:CHUPPS_Mens_Boys_Natural_Rubber_Flip_Flops_Slippers_KALEEN_DESIGN_Comfortable_Ultra_Light_Odour_Free_Non_Slip_Long_Lasting_Digital_Prints,0.33521241943041485,0.14285714285714285,4.4,0
exr:Fastrack_Men_Square_Black_Sunglasses_Pack_of_1,0.461190124352773,1.0,4.0,1
exr:Ray_Ban_Men_Rectangular_Sunglasses,0.36390188833077747,1.0,3.8,0
exr:Fastrack_Unisex_Aviator_Sunglasses_Black,0.49762101968129474,1.0,3.1,1
exr:Ray_Ban_Men_Square_Sunglasses_Black_Frame_Green_Lens_Small_Pack_of_1,0.4312351544698079,1.0,4.0,0
exr:Fastrack_Men_Casual_Round_Sunglasses_Brown_59_mm_NBM138GR5P_Pack_of_1,0.5028294722239176,1.0,3.9,1
exr:CREATURE_Men_Socks,0.22459252178668976,0.2857142857142857,4.1,0
exr:BALENZIA_Mens_Cushioned_High_Ankle_Sports_Socks_Free_Size_Made_with_Cotton_Spandex_Combo_Pack_of_3_5_Black_Navy_White_Light_Grey_Dark_Grey_,0.3726249138514201,0.25,4.1,0
exr:Jockey_7002_Mens_Compact_Cotton_Stretch_Ankle_Length_Socks_with_Stay_Fresh_Technology,0.2301591287056605,0.25,4.1,0
exr:Malabar_Gold_Diamonds_24k_999_Goddess_Lakshmi_1_gm_Yellow_Gold_Coin,0.341031680504481,0.2,4.6,0
exr:Yellow_Chimes_Chain_Pendant_for_Men_Black_Men_Pendant_Stainless_Steel_Black_Sailor_Anchor_Charm_Pendant_Necklace_for_Men_and_Boys_,0.3225935896237691,0.2,3.8,0
exr:URBAN_FOREST_Leather_Belt_for_Men,0.3025422195593516,0.3333333333333333,4.0,0
exr:GUSTAVE_Mens_Shirt_Stays_Adjustable_Elastic_Shirt_Garters_with_Locking_Non_Slip_Clips,0.23192270596822104,0.3333333333333333,4.0,0
exr:HIDE_SKIN_Mens_Leather_Belt,0.27186234792073566,0.3333333333333333,4.1,0
exr:PALAY_Pants_Chain_Jeans_Chain_for_Men_Women_Fashion_Gothic_Punk_Wallet_Pocket_Chain_Belt_Chain_Hip_Hop_Rock_Biker_Trousers_Chain_Silver_,0.3617139557997386,0.3333333333333333,4.3,0
exr:KOTTY_Women_Polyester_Blend_Green_Solid_Trousers,0.4030146102110545,0.42857142857142855,3.6,0
exr:Campus_Sutra_Womens_Cotton_Jacket_Relaxed_Fit_For_Casual_Wear_Full_Sleeve_Latest_Stylish_Wear_Cotton_Jacket_Crafted_With_Comfort_Fit_And_High_Performance_For_Everyday_Wear,0.5529334843158722,1.0,0.0,1
exr:LEOTUDE_Cottonblend_Half_Sleeve_Oversized_T_Shirts_for_Women_Color_Brown_,0.3883424997329712,0.375,3.6,0
exr:LEOTUDE_Cotton_Blend_Half_Sleeve_Oversized_Back_Printed_Womens_T_Shirt,0.4289940694967906,0.375,3.9,0
exr:Kotty_Womens_Loose_Fit_Jeans,0.3642222185929616,0.42857142857142855,3.7,0
exr:Jockey_AW87_Womens_Super_Combed_Cotton_Elastane_Stretch_Slim_Fit_Leggings_with_Ultrasoft_Waistband,0.3378018836180369,0.42857142857142855,4.2,0
exr:Stylum_Womens_Self_Woven_Kantha_Cotton_Cord_Set,0.4728470842043559,0.375,4.7,0
exr:DHRUVI_TRENDZ_Soft_Cotton_Silk_Saree_For_Women_Half_Sarees_Under_449_2020_Beautiful_For_Women_saree_free_size_with_blouse_piece,0.449335515499115,0.6,3.7,0
exr:OM_SAI_LATEST_CREATION_Women_Soft_Cotton_Silk_Banarasi_Saree_for_women_Under_300_2022_Beautiful_saree_free_size_with_blouse_piece_Saree,0.41911280155181885,0.6,3.7,0
exr:SIRIL_Womens_Tassel_Self_Woven_Cotton_Silk_Saree_with_Unstitched_Blouse_Piece,0.3958885967731476,0.6,3.8,0
exr:Amazon_Brand_Myx_Womens_Cotton_Straight_Short_Kurti,0.4298016329606374,1.0,4.0,0
exr:Ada_Hand_Embroidered_Lucknowi_Chikankari_Straight_Cotton_Kurta_Kurti_for_Women_A133488,0.48705316583315533,1.0,4.0,0
exr:MEERA_FAB_Womens_Cotton_Printed_Blue_Anarkali_Kurta_with_Palazzo_Dupatta_Set,0.4392050604025523,1.0,3.9,0
exr:Vaamsi_Womens_Poly_Cotton_Floral_Printed_Straight_Kurta_Pant_with_Dupatta_Set_VKSKD1242_,0.5953008532524109,1.0,3.7,1
exr:Yashika_Womens_Full_Elastic_Cotton_Blend_Lycra_Saree_Shapewear_Petticoat_Free_Size,0.4105743070443471,0.6,3.2,0
exr:Janasya_Womens_Green_Poly_Chiffon_Self_Design_Flared_Kurta,0.44875956575075787,1.0,4.1,0
exr:Vaamsi_Womens_Poly_Cotton_Floral_Printed_Straight_Kurta_Pant_with_Dupatta_Set_VKSKD1182_,0.5912955602010092,1.0,3.5,1
exr:Stylum_Womens_Floral_Print_Rayon_A_Line_Kurta,0.41873563329378766,1.0,3.9,0
exr:TIMEX_Analog_Womens_Watch_Dial_Colored_Strap_,0.3785358667373657,1.0,4.4,0
exr:Fossil_Gen_5E_Smartwatch_with_AMOLED_Screen_Wear_OS_by_Google_Built_in_Speaker_for_Phone_Calls_Google_Assistant_SpO2_GPS_NFC_Wellness_Features_and_Smartphone_Notifications,0.23872966567675272,0.5,3.9,0
exr:Fossil_Gwen_Analogue_Womens_Watch_Rose_Gold_Dial_Womens_Standard_Colored_Strap_ES4879,0.4599694112936656,0.0,4.4,0
exr:Sonata_Analog_Blue_Dial_Womens_Watch_NM8989PP04_NL8989PP04,0.3153316080570221,1.0,4.0,0
exr:SWADESI_STUFF_Classique_Crystalline_2Tone_Premium_Luxurious_Watch_for_Women,0.46498366196950275,1.0,0.0,0
exr:The_Clownfish_Octavia_Womens_Wallet_Clutch_Ladies_Purse_with_Card_holders_Tan_,0.46479225158691406,0.0,4.2,0
exr:The_Clownfish_Leather_Women_wallet_Elegance_Tan_,0.45409564177195233,0.0,3.7,0
exr:Nelle_Harper_Womens_Shoulder_Bag,0.4155114988485972,0.6,4.0,0
exr:Fostelo_Handbag_For_Women_And_Girls_Ladies_Purse_Faux_Leather_Satchel_Bag_Wedding_Gifts_For_Women_Women_3_Compartments_Bag_Travel_Purse_Hobo_Bag_5_Pockets_Shoulder_Bag,0.4528135061264038,0.6,4.1,0
exr:Amazon_Brand_Eden_Ivy_Womens_Handbag,0.4397773543993632,0.6,4.3,0
exr:Lino_Perros_Womens_leatherette_Tote_Bag,0.44302213191986084,1.0,4.3,0
exr:Baggit_Womens_Sling_Bag_Small,0.4101802905400594,0.4,4.3,0
exr:Nelle_Harper_Womens_Handbag,0.4018283387025197,0.4,3.6,0
exr:Lavie_Womens_Beech_Satchel_Bag_Ladies_Purse_Handbag,0.5047061145305634,0.6,4.2,1
exr:Lavie_Womens_Sara_Box_Sling_Bag_Ladies_Purse_Handbag,0.4821905593077342,0.4,4.0,1
exr:WOMEN_MARKS_Womens_Handbag_NSB000059_Tan_,0.42419392863909405,0.6,4.0,0
exr:DailyObjects_Lush_Midnight_Womens_Wallet_Made_with_Vegan_Leather_Material_Carefully_Handcrafted_Holds_up_to_8_Cards_Slim_and_Easy_to_Fit_in_Pocket_Coin_Pocket_with_Button_Closure,0.3904353181521098,0.0,4.1,0
exr:Fostelo_Handbag_For_Women_And_Girls_Ladies_Purse_Faux_Leather_Satchel_Bag_Woman_Gifts_Wedding_Gifts_For_Women_Women_3_Compartments_Bag_Travel_Purse_Hobo_Bag_5_Pockets_Shoulder_Bag,0.4499533474445343,0.6,4.1,0
exr:WildHorn_Leather_8_5_inch_Sling_Messenger_Bag_for_Men_I_Multipurpose_Crossbody_Bag_I_Travel_Bag_with_Adjustable_Strap_I_DIMENSION_L_8_5inch_H_10_5inch_W_3inch,0.31209974984327954,0.0,4.3,0
exr:Fristo_Womens_Handbag_FRB_315_Red_,0.43538766105969745,0.6,3.9,0
exr:Lino_Perros_womens_handbag,0.4456108510494232,0.6,4.1,0
exr:Baggit_Women_Satchel_Handbag_BUFF_,0.42417752742767334,0.4,4.0,0
exr:Peora_Traditional_Jewellery_18K_Gold_Plated_Handcrafted_AD_Pearl_Chandbali_Earrings_for_Women,0.4659908612569173,1.0,2.8,0
exr:Joyalukkas_Assayer_Certified_10_grams_24k_999_Yellow_Gold_Precious_Gold_Bar,0.3282168507575989,0.2,4.5,1
exr:Priyaasi_Brass_Gold_Plated_AD_Studded_Geometric_Pendant_Black_Beaded_Chain_Traditional_Mangalsutra_for_Women_Gold_,0.44495200117429096,0.5,3.8,0
exr:Joyalukkas_22KT_Yellow_Gold_Pendant_for_Girls,0.528363972902298,0.5,3.9,1
exr:Joyalukkas_22k_916_8_gm_Yellow_Gold_Coin_with_Queen_Victoria_Design,0.4022337694962819,0.2,4.4,1
exr:Joyalukkas_22k_916_Yellow_Gold_and_Pendant_for_Girls,0.5389391978581747,0.5,4.1,1
exr:Joyalukkas_22k_916_Yellow_Gold_Bracelet_for_Men_Gold_,0.49302729964256287,0.16666666666666666,0.0,1
exr:Joyalukkas_Pride_Diamond_Collection_18k_Yellow_Gold_and_Diamond_Ring,0.49338491757710773,0.5,0.0,1
exr:Joyalukkas_22k_916_8_gm_BIS_Hallmarked_Yellow_Gold_Precious_Coin_with_George_head_Design,0.36862291892369586,0.2,4.7,1
exr:Joyalukkas_Impress_Collection_22k_Yellow_Gold_Stud_Earrings_for_Women,0.5882392227649689,1.0,4.0,1
exr:Xbox_Series_S,0.20877263446648917,0.0,4.6,0
